Precinct Code,Precinct Name,Total Population,White alone (Population),White alone (Percentage),Black or African American alone (Population),Black or African American alone (Percentage),American Indian and Alaska Native alone (Population),American Indian and Alaska Native alone (Percentage),Asian alone (Population),Asian alone (Percentage),Native Hawaiian and Other Pacific Islander alone (Population),Native Hawaiian and Other Pacific Islander alone (Percentage),Some Other Race alone (Population),Some Other Race alone (Percentage),Population of two or more races (Population),Population of two or more races (Percentage)
B133,CEDAR RUN,1348,809,60.01%,227,16.84%,16,1.19%,66,4.90%,1,0.07%,101,7.49%,128,9.50%
C174,CENTURY HILLS,1242,807,64.98%,180,14.49%,4,0.32%,10,0.81%,2,0.16%,76,6.12%,163,13.12%
B209,CHARWOOD,900,767,85.22%,37,4.11%,0,0.00%,18,2.00%,0,0.00%,9,1.00%,69,7.67%
C213,CHATSWORTH,1003,517,51.55%,269,26.82%,7,0.70%,7,0.70%,1,0.10%,104,10.37%,98,9.77%
C194,CHESTNUT HILL,1015,742,73.10%,78,7.68%,0,0.00%,67,6.60%,0,0.00%,20,1.97%,108,10.64%
C192,CHETFORD,1050,840,80.00%,62,5.90%,0,0.00%,58,5.52%,0,0.00%,27,2.57%,63,6.00%
C113,CHEVY CHASE,916,864,94.32%,15,1.64%,1,0.11%,7,0.76%,0,0.00%,2,0.22%,27,2.95%
C187,CHILESBURG,1073,845,78.75%,101,9.41%,0,0.00%,37,3.45%,0,0.00%,39,3.63%,51,4.75%
B128,CHINOE,643,568,88.34%,9,1.40%,0,0.00%,31,4.82%,0,0.00%,5,0.78%,30,4.67%
A151,CLAYS MILL,651,591,90.78%,17,2.61%,2,0.31%,1,0.15%,0,0.00%,1,0.15%,39,5.99%
B139,CLAYS SPRING,861,761,88.39%,11,1.28%,0,0.00%,21,2.44%,0,0.00%,11,1.28%,57,6.62%
B101,CLEMENS HTS.,826,686,83.05%,3,0.36%,1,0.12%,66,7.99%,0,0.00%,9,1.09%,61,7.38%
C115,CLIFTON,2642,"2,188",82.82%,114,4.31%,6,0.23%,118,4.47%,1,0.04%,164,6.21%,51,1.93%
B217,COBBLESTONE KNOLL,762,622,81.63%,49,6.43%,1,0.13%,29,3.81%,0,0.00%,8,1.05%,53,6.96%
B229,COMPLEX,3030,"2,367",78.12%,255,8.42%,0,0.00%,94,3.10%,1,0.03%,279,9.21%,34,1.12%
A161,COOLAVIN,1849,805,43.54%,609,32.94%,6,0.32%,2,0.11%,0,0.00%,254,13.74%,173,9.36%
B215,COPPER CREEK,845,753,89.11%,21,2.49%,0,0.00%,20,2.37%,0,0.00%,1,0.12%,50,5.92%
C151,COVE LAKE,1300,821,63.15%,228,17.54%,5,0.38%,128,9.85%,0,0.00%,29,2.23%,89,6.85%
A195,COVENTRY,947,651,68.74%,177,18.69%,2,0.21%,13,1.37%,0,0.00%,49,5.17%,55,5.81%
C165,CRESTVIEW,1470,801,54.49%,457,31.09%,2,0.14%,96,6.53%,0,0.00%,18,1.22%,96,6.53%
C205,CRYSTAL FALLS,1081,672,62.16%,230,21.28%,1,0.09%,42,3.89%,0,0.00%,45,4.16%,91,8.42%
C118,DEEP SPRINGS,1073,758,70.64%,129,12.02%,7,0.65%,5,0.47%,0,0.00%,94,8.76%,80,7.46%
C200,DEER CROSSING,908,821,90.42%,24,2.64%,0,0.00%,22,2.42%,0,0.00%,3,0.33%,38,4.19%
B108,DEERFIELD,979,720,73.54%,57,5.82%,2,0.20%,78,7.97%,0,0.00%,25,2.55%,97,9.91%
C148,DELAWARE,1066,742,69.61%,151,14.17%,8,0.75%,16,1.50%,0,0.00%,56,5.25%,93,8.72%
C217,DENALI,1438,995,69.19%,126,8.76%,0,0.00%,210,14.60%,0,0.00%,21,1.46%,86,5.98%
A109,DOUGLAS-WASHINGTON,1829,377,20.61%,"1,122",61.34%,12,0.66%,9,0.49%,2,0.11%,177,9.68%,130,7.11%
C120,DUKE,993,925,93.15%,5,0.50%,3,0.30%,22,2.22%,0,0.00%,2,0.20%,36,3.63%
A188,DUNBAR,1019,583,57.21%,35,3.43%,2,0.20%,316,31.01%,0,0.00%,5,0.49%,78,7.65%
C164,EAST HILLS,1080,781,72.31%,134,12.41%,10,0.93%,10,0.93%,2,0.19%,32,2.96%,111,10.28%
C175,EAST LAKE,1229,837,68.10%,154,12.53%,9,0.73%,11,0.90%,0,0.00%,87,7.08%,131,10.66%
C121,EASTLAND,1409,604,42.87%,519,36.83%,11,0.78%,24,1.70%,0,0.00%,158,11.21%,93,6.60%
B123,ECTON PARK,1150,"1,073",93.30%,2,0.17%,1,0.09%,21,1.83%,0,0.00%,9,0.78%,44,3.83%
B152,EDGEWATER,877,830,94.64%,3,0.34%,1,0.11%,5,0.57%,0,0.00%,7,0.80%,31,3.53%
B208,ENGLISH STATION,1069,909,85.03%,39,3.65%,1,0.09%,59,5.52%,0,0.00%,14,1.31%,47,4.40%
A203,ENTERPRISE,665,365,54.89%,252,37.89%,0,0.00%,8,1.20%,0,0.00%,31,4.66%,9,1.35%
A163,FAIRGROUNDS,2852,"1,224",42.92%,843,29.56%,25,0.88%,54,1.89%,1,0.04%,435,15.25%,270,9.47%
B179,FAIRHAVEN,1124,984,87.54%,41,3.65%,0,0.00%,41,3.65%,2,0.18%,6,0.53%,50,4.45%
A111,FAIRLAWN,1612,886,54.96%,443,27.48%,9,0.56%,9,0.56%,1,0.06%,147,9.12%,117,7.26%
B110,FAIRWAY,881,694,78.77%,86,9.76%,4,0.45%,13,1.48%,0,0.00%,26,2.95%,58,6.58%
A199,FERNDALE,1162,524,45.09%,378,32.53%,2,0.17%,53,4.56%,2,0.17%,72,6.20%,131,11.27%
B210,FIDDLER CREEK,1746,"1,252",71.71%,178,10.19%,2,0.11%,165,9.45%,5,0.29%,14,0.80%,130,7.45%
A205,FIELDRUSH,1619,967,59.73%,446,27.55%,2,0.12%,44,2.72%,1,0.06%,46,2.84%,113,6.98%
B216,FOLEYS TRAIL,965,854,88.50%,29,3.01%,0,0.00%,34,3.52%,0,0.00%,7,0.73%,41,4.25%
C124,FONTAINE,847,791,93.39%,5,0.59%,0,0.00%,7,0.83%,0,0.00%,10,1.18%,34,4.01%
C227,FORTUNE HILL,2623,"1,593",60.73%,463,17.65%,6,0.23%,152,5.79%,3,0.11%,190,7.24%,216,8.23%
C215,FOUR WYNDS,740,610,82.43%,45,6.08%,4,0.54%,18,2.43%,4,0.54%,14,1.89%,45,6.08%
B207,FOX HARBOUR,1333,"1,033",77.49%,105,7.88%,3,0.23%,64,4.80%,0,0.00%,28,2.10%,100,7.50%
B111,GAINESWAY,2171,755,34.78%,"1,177",54.21%,7,0.32%,32,1.47%,3,0.14%,59,2.72%,138,6.36%
A113,GARDEN SPRINGS,1395,"1,004",71.97%,153,10.97%,8,0.57%,30,2.15%,3,0.22%,87,6.24%,110,7.89%
A114,GIBSON PARK,1487,954,64.16%,186,12.51%,9,0.61%,132,8.88%,8,0.54%,82,5.51%,116,7.80%
C203,GINGERMILL,1093,859,78.59%,103,9.42%,8,0.73%,62,5.67%,1,0.09%,20,1.83%,40,3.66%
B112,GLENDOVER,638,567,88.87%,10,1.57%,4,0.63%,13,2.04%,0,0.00%,1,0.16%,43,6.74%
B186,GLENVIEW,759,676,89.06%,16,2.11%,3,0.40%,28,3.69%,1,0.13%,5,0.66%,30,3.95%
B225,GOLDON TROPHY,1245,852,68.43%,104,8.35%,4,0.32%,157,12.61%,0,0.00%,34,2.73%,94,7.55%
B113,GOODRICH,978,877,89.67%,18,1.84%,1,0.10%,21,2.15%,2,0.20%,11,1.12%,48,4.91%
B167,GRAY HAWK,642,527,82.09%,41,6.39%,0,0.00%,24,3.74%,0,0.00%,12,1.87%,38,5.92%
A115,GREEN ACRES,1788,144,8.05%,"1,253",70.08%,3,0.17%,7,0.39%,2,0.11%,297,16.61%,82,4.59%
